team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ground,ground_city,ground_country,match_date
Australia,India,282,205,6,10,away,away,Australia,77.0,runs,Day,ICC World Cup,Glenn McGrath,Australia,"Kennington Oval, London",India,field first,The Oval,London,England,1999-06-04
Pakistan,South Africa,220,221,7,7,away,away,South Africa,3.0,wickets,Day,ICC World Cup,Lance Klusener,South Africa,"Trent Bridge, Nottingham",Pakistan,bat first,Nottingham,Nottingham,England,1999-06-05
India,Pakistan,227,180,6,10,away,away,India,47.0,runs,Day,ICC World Cup,Venkatesh Prasad,India,"Old Trafford, Manchester",India,bat first,Manchester,Stretford,England,1999-06-08
Australia,Zimbabwe,303,259,4,6,away,away,Australia,44.0,runs,Day,ICC World Cup,Neil Johnson,Zimbabwe,"Lord's, London",Zimbabwe,field first,Lord's,St John's Wood Road,England,1999-06-09
South Africa,New Zealand,287,213,5,8,away,away,South Africa,74.0,runs,Day,ICC World Cup,Jacques Kallis,South Africa,"Edgbaston, Birmingham",South Africa,bat first,Birmingham,Birmingham,England,1999-06-10
Pakistan,Zimbabwe,271,123,9,10,away,away,Pakistan,148.0,runs,Day,ICC World Cup,Saeed Anwar,Pakistan,"Kennington Oval, London",Pakistan,bat first,The Oval,London,England,1999-06-11
India,New Zealand,251,253,6,5,away,away,New Zealand,5.0,wickets,Day,ICC World Cup,Roger Twose,New Zealand,"Trent Bridge, Nottingham",India,bat first,Nottingham,Nottingham,England,1999-06-12
South Africa,Australia,271,272,7,5,away,away,Australia,5.0,wickets,Day,ICC World Cup,Steve Waugh,Australia,"Headingley, Leeds",South Africa,bat first,Leeds,Leeds,England,1999-06-13
New Zealand,Pakistan,241,242,7,1,away,away,Pakistan,9.0,wickets,Day,ICC World Cup,Shoaib Akhtar,Pakistan,"Old Trafford, Manchester",New Zealand,bat first,Manchester,Stretford,England,1999-06-16
Australia,South Africa,213,213,10,10,away,away,Match tied,35.52088452088452,runs,Day,ICC World Cup,Shane Warne,Australia,"Edgbaston, Birmingham",South Africa,field first,Birmingham,Birmingham,England,1999-06-17
Pakistan,Australia,132,133,10,2,away,away,Australia,8.0,wickets,Day,ICC World Cup,Shane Warne,Australia,"Lord's, London",Pakistan,bat first,Lord's,St John's Wood Road,England,1999-06-20
Australia,Sri Lanka,205,160,9,10,away,home,Australia,50.0,runs,Day,Aiwa Cup,Jason Gillespie,Australia,Galle International Stadium,Sri Lanka,field first,Galle,Galle,Sri Lanka,1999-08-22
India,Australia,151,159,7,2,away,away,Australia,8.0,wickets,Day,Aiwa Cup,Andrew Symonds,Australia,Galle International Stadium,India,bat first,Galle,Galle,Sri Lanka,1999-08-23
India,Sri Lanka,205,206,8,3,away,home,Sri Lanka,7.0,wickets,Day and night,Aiwa Cup,Marvan Atapattu,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat first,Colombo (RPS),Khettarama,Sri Lanka,1999-08-25
Australia,Sri Lanka,241,214,9,10,away,home,Australia,27.0,runs,Day and night,Aiwa Cup,Mark Waugh,Australia,"R Premadasa Stadium, Colombo",Australia,bat first,Colombo (RPS),Khettarama,Sri Lanka,1999-08-26
Australia,India,252,211,8,10,away,away,Australia,41.0,runs,Day,Aiwa Cup,Adam Gilchrist,Australia,"Sinhalese Sports Club Ground, Colombo",India,field first,Colombo (SSC),Colombo,Sri Lanka,1999-08-28
India,Sri Lanka,296,247,4,9,away,home,India,23.0,runs,Day,Aiwa Cup,Robin Singh,India,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,field first,Colombo (SSC),Colombo,Sri Lanka,1999-08-29
Australia,Sri Lanka,202,208,10,2,away,home,Sri Lanka,8.0,wickets,Day and night,Aiwa Cup,Romesh Kaluwitharana,Sri Lanka,"R Premadasa Stadium, Colombo",Australia,bat first,Colombo (RPS),Khettarama,Sri Lanka,1999-08-31
Zimbabwe,West Indies,244,247,9,4,away,away,West Indies,6.0,wickets,Day,Coca-Cola Singapore Challenge,Ridley Jacobs,West Indies,"Kallang Ground, Singapore",Zimbabwe,bat first,Singapore,Padang,Singapore,1999-09-02
India,Zimbabwe,245,130,6,8,away,away,India,115.0,runs,Day,Coca-Cola Singapore Challenge,Sachin Tendulkar,India,"Kallang Ground, Singapore",Zimbabwe,field first,Singapore,Padang,Singapore,1999-09-04
West Indies,India,196,154,7,8,away,away,West Indies,42.0,runs,Day,Coca-Cola Singapore Challenge,Brian Lara,West Indies,"Kallang Ground, Singapore",West Indies,bat first,Singapore,Padang,Singapore,1999-09-05
